Category,Error,PlainEnglishMeaning,HowToFix,CommonCauses,TodoChecklist
Extensions,Declaration is only valid at file scope,The declaration appears somewhere it isn't allowed.,Move it to the correct scope.,Nested extension|Nested protocol|Nested import|Syntax error|Brace mismatch,Inspect surrounding braces|Move declaration|Fix parser errors|Compile|Auto-indent
Protocols,Protocol requirement cannot be satisfied by non-final class,The compiler can't guarantee the implementation meets the requirement.,Mark the class final or redesign the protocol.,Self requirements|Associated types|Inheritance|API design|Refactoring,Read protocol requirements|Consider final|Use generics|Compile|Retest
Protocols,Use of protocol 'X' as a type must be written 'any X',Modern Swift requires explicit existential syntax.,Prefix the protocol with any.,Swift language update|Old code|Migration|Documentation mismatch|Compiler version,Replace protocol type with any Protocol|Review migration guide|Compile|Run tests
Casting,Cast from 'X' to unrelated type 'Y' always fails,The conversion can never succeed.,Use the correct type or remove the cast.,Wrong API|Incorrect inheritance|Logic bug|Copy-paste|Refactoring,Inspect runtime types|Remove impossible cast|Choose correct type|Compile|Test
Casting,Conditional cast always succeeds,The cast is unnecessary because it's guaranteed.,Remove the redundant cast.,Redundant as?|Refactoring|API change|Type inference|Old code,Delete unnecessary cast|Compile|Clean warnings|Review code|Commit cleanup
Casting,Forced cast of 'X' to same type has no effect,The as! does nothing useful.,Remove the cast.,Copy-paste|Old code|Refactoring|Type inference|Autocomplete,Inspect types|Remove cast|Compile|Clean warnings|Review
Operators,Cannot convert value of type 'Bool' to expected condition type,A condition doesn't evaluate to a Boolean.,Produce a Bool expression.,Returned Int|Assignment instead of comparison|API mismatch|Typo|Refactoring,Inspect condition|Use == if intended|Check return types|Compile|Test
Operators,Cannot assign through '!': function call returns immutable value,You're trying to modify a temporary value.,Assign to a variable first.,Temporary expression|Computed property|API design|Value semantics|Copy-paste,Store the value|Modify the variable|Write back if needed|Compile|Retest
Strings,Invalid Unicode scalar,A Unicode escape sequence is malformed.,Correct the Unicode escape.,Typo|Bad escape|Copy-paste|Encoding issue|Generated code,Review Unicode syntax|Use valid scalar values|Compile|Retest|Check encoding
Strings,Cannot interpolate value of type into string,The value can't automatically become text.,Convert it to a printable representation.,Custom type|Missing CustomStringConvertible|API mismatch|Generic|Refactoring,Inspect the type|Use String(describing:)|Implement CustomStringConvertible if appropriate|Compile|Test
Foundation,JSONSerialization data is not valid JSON,The data doesn't follow JSON rules.,Generate or parse valid JSON.,Corrupt data|Wrong encoding|API bug|Server issue|Manual editing,Validate JSON|Log the payload|Use JSONDecoder if appropriate|Check server response|Retest
Foundation,The data couldn't be read because it isn't in the correct format,The file or data doesn't match the expected format.,Use the correct decoder or validate the data.,Wrong file|Encoding issue|Corrupt data|API mismatch|Version mismatch,Check file contents|Inspect encoding|Verify decoder|Handle errors|Test with known-good data
Xcode,Failed to build workspace,The overall project failed to compile.,Fix the underlying build errors.,Compiler errors|Dependency failure|Signing issue|Build settings|Corrupt cache,Read the first build error|Clean build folder|Resolve dependency issues|Retry|Inspect logs
Xcode,Signing for target requires a development team,Xcode doesn't know which Apple Developer team to use.,Select the appropriate signing team.,New machine|Missing account|Project settings|Automatic signing off|Team removed,Open Signing & Capabilities|Select team|Enable automatic signing if appropriate|Rebuild|Verify certificates
Xcode,Provisioning profile doesn't match bundle identifier,The provisioning profile isn't valid for this app ID.,Use a matching provisioning profile.,Changed bundle ID|Wrong profile|Expired profile|Team mismatch|Manual signing,Check bundle identifier|Download correct profile|Refresh signing assets|Rebuild|Test on device
Debugging,Thread 1: breakpoint,Execution paused because of a breakpoint or trap.,Continue execution or investigate why it stopped.,Intentional breakpoint|Exception breakpoint|Debugger trap|fatalError|Assertion,Check call stack|Determine if breakpoint is expected|Inspect variables|Continue or fix issue|Retest
Debugging,Thread Sanitizer: data race detected,Two threads accessed shared data unsafely.,Synchronize access or redesign ownership.,Missing actor|Missing lock|Shared mutable state|Concurrent mutation|Legacy code,Read sanitizer report|Protect shared state|Use actors or locks|Retest|Run sanitizer again
Performance,Computed property performs expensive work,Every property access repeats slow calculations.,Cache results or convert to a method if appropriate.,Large loops|Sorting|Filtering|Database access|Network access,Profile property usage|Cache expensive work|Avoid repeated access|Benchmark|Review API design
Performance,Creating DateFormatter repeatedly,DateFormatter creation is relatively expensive.,Reuse formatter instances.,Inside loops|Table views|Computed property|Frequent formatting|Copy-paste,Search for repeated initialization|Create shared formatter|Measure improvement|Benchmark|Retest
Performance,Creating NumberFormatter repeatedly,Repeated formatter allocation hurts performance.,Reuse NumberFormatter objects.,Formatting in loops|UI refresh|Refactoring|Logging|Copy-paste,Cache formatter|Measure allocations|Benchmark|Review hot paths|Retest
Performance,Excessive view recomputation,Views are being rebuilt more often than necessary.,Reduce unnecessary state changes and expensive body work.,Large SwiftUI body|Too much @State|Computed properties|ObservableObject changes|Identity issues,Use Instruments|Extract subviews|Reduce state changes|Memoize expensive calculations|ProfileCategory
Runtime,Unexpectedly found nil while implicitly unwrapping an Optional value,An implicitly unwrapped optional (Type!) was nil when it was used.,Initialize it before use or make it a regular optional and unwrap safely.,Disconnected IBOutlet|Forgot initialization|Object lifecycle issue|Weak reference became nil|API returned nil,Inspect the crash location|Check initialization order|Verify IBOutlet connections|Replace ! with safer handling|Retest
Runtime,Could not cast value of type 'X' to 'Y',A forced cast (as!) failed at runtime.,Use a conditional cast (as?) or ensure the object really is the expected type.,Wrong object type|Storyboard mismatch|API returned different type|Inheritance misunderstanding|Refactoring,Replace as! with as? where appropriate|Print the runtime type|Verify data source|Check storyboard classes|Retest
Runtime,Terminating app due to uncaught exception,An Objective-C exception wasn't handled and the app terminated.,Fix the underlying Objective-C or framework error.,UIKit misuse|KVC error|Selector error|Storyboard issue|Foundation exception,Read the exception reason|Inspect the stack trace|Fix the root cause|Retest|Enable exception breakpoints
Runtime,Simultaneous accesses to memory,Two accesses violated Swift's memory exclusivity rules.,Avoid overlapping read/write access to the same value.,Nested inout|Mutating during iteration|Unsafe pointer use|Aliasing|Compiler optimization,Inspect inout usage|Split operations|Copy values if needed|Compile with exclusivity checks|Retest
Runtime,Precondition failed,A precondition() check detected invalid program state.,Fix the condition or validate inputs.,Invalid arguments|Corrupt state|Logic bug|Configuration error|Unexpected input,Read the precondition message|Inspect inputs|Validate assumptions|Add tests|Retest
Runtime,Index is out of bounds,A collection index is outside the valid range.,Validate the index before accessing the collection.,Off-by-one error|Empty collection|Incorrect calculation|Race condition|Data mutation,Print collection.count|Check loop bounds|Guard against empty collections|Use indices|Retest
Runtime,Collection was mutated while being enumerated,The collection changed during iteration.,Avoid modifying a collection while iterating over it.,Removing inside loop|Appending inside loop|Concurrent modification|Observer callback|Logic bug,Copy the collection if needed|Collect changes first|Apply mutations afterward|Retest|Review loop logic
ARC,Instance will be immediately deallocated because property is weak,A weak reference doesn't keep the object alive.,Use a strong reference if ownership is intended.,Only weak references exist|Temporary object|Delegate confusion|Lifecycle issue|Refactoring,Inspect ownership|Determine correct reference type|Use strong where appropriate|Retest|Check Memory Graph
ARC,Reference cycle detected,Objects strongly reference each other and cannot be deallocated.,Break the cycle using weak or unowned references where appropriate.,Closure captures self|Parent-child references|Delegates|Timers|Notification observers,Use Xcode Memory Graph|Inspect closure captures|Make delegate weak|Invalidate timers|Retest
ARC,Capture of 'self' in escaping closure,The closure may keep the object alive longer than expected.,Use [weak self] or [unowned self] if appropriate.,Async callbacks|Completion handlers|Timers|Animations|Notification handlers,Inspect closure lifetime|Choose weak or unowned appropriately|Retest deallocation|Profile memory|Review ownership
Objective-C,Use of unresolved selector,A selector name doesn't match any Objective-C method.,Verify the selector or use #selector.,Typo|Renamed method|Missing @objc|Wrong signature|Copy-paste,Check method name|Use #selector|Add @objc if required|Compile|Retest
Objective-C,Unrecognized selector sent to instance,An Objective-C object received a method it doesn't implement.,Call the correct method or fix the object's type.,Wrong class|Incorrect IBOutlet|Selector typo|KVC issue|Runtime cast failure,Read exception message|Verify runtime type|Check storyboard connections|Retest|Enable exception breakpoints
Objective-C,Only classes that inherit from NSObject can be exposed to Objective-C,The type isn't compatible with Objective-C.,Inherit from NSObject if Objective-C interoperability is required.,Pure Swift type|Missing NSObject|Framework requirement|Refactoring|API design,Check interoperability requirements|Inherit NSObject if appropriate|Compile|Retest|Review API
Networking,The Internet connection appears to be offline,The network request couldn't reach the internet.,Check connectivity and handle offline scenarios.,No connection|Airplane mode|Firewall|Server unreachable|Simulator networking,Verify network access|Retry gracefully|Test on another network|Handle offline mode|Log errors
Networking,The request timed out,The server took too long to respond.,Increase timeout if appropriate or retry.,Slow server|Poor connection|Large download|Server overload|Network interruption,Measure request time|Retry with backoff|Check server logs|Optimize request|Handle timeout gracefully
Networking,Cannot parse server response,The received data isn't in the expected format.,Inspect the response and update parsing logic.,API changed|Invalid JSON|Wrong endpoint|Server error page|Encoding issue,Log raw response|Validate Content-Type|Check API docs|Update models|Retest
Networking,The operation couldn't be completed,A generic Foundation error occurred.,Inspect the underlying NSError for details.,Wrapped error|Framework error|Network issue|Filesystem issue|Unknown failure,Print localizedDescription|Inspect error code|Inspect underlying error|Reproduce|Handle gracefully
Codable,The data couldn't be decoded because it is missing a required key,JSON is missing a property your model expects.,Make the property optional or fix the incoming JSON.,Server change|Incorrect CodingKeys|Wrong endpoint|Model mismatch|Version difference,Read decoding error|Compare JSON to model|Make fields optional if appropriate|Update CodingKeys|Retest
Codable,Expected to decode Int but found String instead,JSON contains a different type than your model expects.,Correct the model or transform the data.,API change|Incorrect model|Server bug|Manual JSON|Version mismatch,Inspect JSON|Update model|Use custom decoding if needed|Coordinate with API|Retest
Codable,Expected to decode Array but found Dictionary instead,Your model expects a list but received an object.,Adjust the model to match the actual JSON.,Wrong endpoint|API change|Incorrect assumption|Version mismatch|Documentation outdated,Log response|Compare with API docs|Update model|Retest|Add tests
Swift Package Manager,Package resolution failed,Swift Package Manager couldn't resolve dependencies.,Fix dependency versions or network issues.,Conflicting versions|Offline|Invalid Package.swift|Repository unavailable|Cache issue,Resolve version conflicts|Update packages|Clear package cache|Retry|Inspect package logs
Swift Package Manager,Dependency graph is inconsistent,Dependencies require incompatible versions.,Update or align dependency versions.,Version conflict|Package update|Transitive dependency|Manual edits|Package bug,Review dependency tree|Update constraints|Use compatible versions|Resolve conflicts|Rebuild
Swift Package Manager,Repository could not be cloned,SwiftPM couldn't download a package.,Check repository access and network connectivity.,Offline|Private repository|Invalid URL|Git issue|Authentication failure,Verify repository URL|Check credentials|Retry|Clone manually if needed|Review logs
Compiler,Expression was too complex to be solved in reasonable time,The type checker gave up because the expression is too complicated.,Break the expression into smaller pieces.,Long method chain|Nested generics|Complex SwiftUI body|Many overloaded operators|Large closure,Split into intermediate variables|Add explicit types|Simplify logic|Compile incrementally|Profile build time
Compiler,Unable to type-check this expression in reasonable time,The compiler can't efficiently determine the types.,Simplify the expression.,Large ViewBuilder|Deep generic nesting|Long chains|Heavy operator overloading|Complex closure,Break expressions apart|Add type annotations|Extract helper methods|Compile frequently|Measure improvements
Compiler,Reference to member is ambiguous,Multiple matching members exist.,Specify the type or choose the intended overload.,Overloaded methods|Multiple imports|Generic inference|Extension conflict|API update,Inspect available overloads|Add explicit type|Qualify with type name|Compile|Retest
Code Smell,Massive View Controller,One view controller handles too many responsibilities.,Split responsibilities into smaller components.,Growing feature set|No architecture|Quick fixes|Copy-paste|Lack of refactoring,Measure class size|Extract managers|Adopt MVVM/MVP/etc.|Add tests|Refactor gradually
Code Smell,God Object,A single object knows or does too much.,Split responsibilities across focused types.,Poor architecture|Feature creep|No abstraction|Global state|Rapid prototyping,Identify responsibilities|Extract services|Reduce dependencies|Write tests|Refactor incrementally
Code Smell,Long Method,A function has become difficult to understand or maintain.,Extract smaller helper methods.,Feature creep|Repeated additions|No refactoring|Copy-paste|Mixed responsibilities,Identify logical sections|Extract methods|Improve naming|Reduce nesting|Test after refactoring
Code Smell,Deeply Nested Conditionals,Many nested if/else blocks reduce readability.,"Use early returns, guard, or helper methods.",Growing business logic|Missing abstraction|Legacy code|Quick fixes|Copy-paste,Use guard statements|Extract predicates|Reduce nesting depth|Write tests|Review readability
Code Smell,Magic Numbers,Literal values appear without explanation.,Replace them with named constants.,Quick prototype|Forgot constants|Copied code|Hardcoded values|No configuration,Search for literals|Create constants|Group related values|Document meaning|Retest
Code Smell,Duplicate Code,The same logic exists in multiple places.,Extract shared functionality.,Copy-paste|Missed abstraction|Time pressure|Legacy code|Branch divergence,Search for duplicates|Extract helper|Reuse utilities|Write tests|Remove copies
Code Smell,Global Mutable State,Global variables can be changed from anywhere.,Limit scope and encapsulate shared state.,Singleton overuse|Legacy architecture|Convenience|Prototype|Shared configuration,Identify globals|Encapsulate state|Inject dependencies|Test isolation|Refactor gradually
Code Smell,Overuse of Force Unwrapping,Frequent use of ! increases crash risk.,Use safer optional handling.,Convenience|Prototype|Lack of optional handling|API misunderstanding|Legacy code,Search for !|Replace with if let/guard|Use ?? where appropriate|Review APIs|Test edge cases
Code Smell,Overuse of Force Casting,Frequent use of as! can cause runtime crashes.,Use conditional casts or redesign the API.,Convenience|Assumed types|Prototype|Legacy Objective-C|Poor abstraction,Search for as!|Replace with as? where appropriate|Improve typing|Test failures|Review architecture
Code Smell,Ignoring Errors with try?,"Errors disappear silently, making debugging difficult.",Handle important errors explicitly.,Convenience|Prototype|Copied code|Missing logging|API misunderstanding,Review every try?|Add logging|Use do-catch where appropriate|Test failure cases|Document intentional ignores
Code Smell,Empty catch Block,Errors are caught but ignored.,"Handle, log, or intentionally document ignored errors.",Forgot implementation|Prototype|Silent failure|Copy-paste|Placeholder,Search for empty catches|Log errors|Handle expected failures|Document intentional ignores|Retest
Code Smell,Hardcoded Strings,Repeated string literals are difficult to maintain and localize.,Move strings into constants or localization files.,Quick prototype|No localization|Copy-paste|Configuration values|UI text,Search for repeated strings|Extract constants|Use Localizable.strings if appropriate|Review duplicates|Retest
Code Smell,Dead Code,Code can never execute or is no longer used.,Remove it to improve maintainability.,Old feature|Commented-out code|Refactoring leftovers|Merge conflict|Unused helper,Search for references|Delete safely|Run tests|Review version control history|Clean warningsCategory
SwiftUI,Accessing StateObject's object before it is installed on a View,A StateObject was used before SwiftUI created and managed it.,Create the StateObject inside the view that owns it.,Creating StateObject outside View lifecycle|Passing StateObject incorrectly|Using it in init|Refactoring|Ownership confusion,Check where StateObject is declared|Use @ObservedObject for injected objects|Move ownership to parent view if needed|Run previews|Retest lifecycle
SwiftUI,StateObject wrapped value used before being initialized,The StateObject dependency is accessed too early.,Initialize it correctly inside the view lifecycle.,Using property in init|Incorrect initialization order|Custom init|Dependency injection mistake|Refactoring,Review init code|Use _property = StateObject(...) when needed|Avoid early access|Compile|Test
SwiftUI,No ObservableObject of type X found,An EnvironmentObject was requested but not provided.,Inject the object using environmentObject().,Forgot environmentObject|Wrong object type|Incorrect view hierarchy|Preview missing setup|Refactoring,Find the EnvironmentObject declaration|Add environmentObject at parent level|Fix previews|Check object type|Retest
SwiftUI,Publishing changes from within view updates is not allowed,An observable object changed while SwiftUI was rendering.,Move mutations outside the body evaluation.,Changing state in body|Computed property side effects|Synchronous callbacks|Infinite updates|Incorrect binding,Search body for mutations|Move changes to actions|Use onAppear/task|Test updates|Profile rendering
SwiftUI,A View's body should not perform side effects,The body property is being used to do work rather than describe UI.,"Move logic into actions, tasks, or lifecycle callbacks.",Network calls in body|State mutation|Database queries|Heavy computation|Incorrect architecture,Inspect body code|Extract logic|Use task/onAppear|Test refresh behavior|Measure performance
SwiftUI,Ambiguous use of 'toolbar',Multiple toolbar APIs or modifiers match.,Specify the intended toolbar content.,OS version differences|Overloaded modifiers|Missing availability checks|Imports|API migration,Check deployment target|Use explicit syntax|Read documentation|Add availability checks|Compile
SwiftUI,Navigation destination not found,SwiftUI cannot find a matching destination for navigation.,Register the correct navigation destination.,Missing navigationDestination|Wrong type|Type mismatch|NavigationStack misuse|Refactoring,Check destination type|Verify navigation value|Add destination handler|Test navigation|Review hierarchy
SwiftUI,ForEach requires constant range or identifiable data,SwiftUI cannot determine stable identity for list items.,Provide Identifiable data or an explicit ID.,Using plain values|Duplicate identifiers|Missing id parameter|Changing collection|Incorrect model,Add Identifiable conformance|Use id parameter|Ensure uniqueness|Test updates|Review model
SwiftUI,Invalid frame dimension (negative or infinite),A view received an impossible layout size.,Provide valid finite dimensions.,GeometryReader misuse|Division by zero|Dynamic calculations|Missing constraints|Layout bug,Print calculated sizes|Check geometry values|Clamp dimensions|Use layout tools|Retest
SwiftUI,GeometryReader causing unexpected layout,GeometryReader takes available space and changes layout behavior.,Use it only when needed or constrain it.,Nested GeometryReader|Missing frame|Layout misunderstanding|Complex hierarchy|Refactoring,Inspect layout tree|Add explicit frames|Extract views|Preview sizes|Test devices
UIKit,Unable to simultaneously satisfy constraints,Auto Layout found conflicting constraints.,Remove conflicting constraints or lower priority.,Duplicate constraints|Incorrect anchors|Missing priority|Storyboard conflicts|Dynamic layout,Read console constraint log|Identify conflicting constraints|Remove duplicates|Adjust priorities|Test orientations
UIKit,The view hierarchy is not prepared for constraint,A constraint references views incorrectly.,Add views before activating constraints.,Constraint before addSubview|Wrong lifecycle method|Removed view|Storyboard issue|Refactoring,Check view order|Activate after adding views|Inspect hierarchy|Run UI tests|Retest
UIKit,UIView-Encapsulated-Layout-Height conflict,A system-provided size conflicts with your constraints.,Adjust your constraints or sizing logic.,Table cell height|Self-sizing cells|Fixed height constraint|Dynamic content|Storyboard settings,Inspect height constraints|Use estimated sizes|Adjust priorities|Test different content|Review layout
UIKit,Attempt to present X whose view is not in the window hierarchy,A view controller was presented before it was visible.,Present from a visible view controller.,Presenting in init|Wrong lifecycle method|Async timing|Dismissed controller|Navigation issue,Move presentation to viewDidAppear|Check presenting controller|Use navigation controller|Retest|Debug hierarchy
UIKit,Application tried to present modally a view controller that is already presenting,A controller is already showing another modal.,"Wait, dismiss, or present from the correct controller.",Double button taps|Async callbacks|Repeated presentation|State issue|Navigation bug,Check presentedViewController|Disable repeated actions|Serialize presentations|Retest|Review flow
UIKit,Cell reuse identifier mismatch,A table or collection view cannot dequeue the expected cell.,Match the identifier and registration.,Typo|Storyboard mismatch|Forgot register|Wrong class|Refactoring,Check identifier strings|Register cell class|Verify storyboard|Test scrolling|Compile
UIKit,UICollectionView received a cell with an invalid index path,The data source and collection state disagree.,Fix item counts and index paths.,Changing data during updates|Wrong numberOfItems|Async updates|Invalid delete|Race condition,Log index paths|Verify counts|Batch updates correctly|Reload safely|Test edge cases
UIKit,UITableView data source returned invalid number of rows,The table view's data doesn't match its model.,Keep the UI and data source synchronized.,Updating array incorrectly|Async loading|Wrong section counts|Delete bugs|Insert bugs,Compare array.count to rows|Reload after updates|Use batch updates correctly|Test changes|Debug model
Combine,The publisher failed with error,A Combine pipeline received an error event.,Handle the error or provide recovery.,Network failure|Decoding error|Custom publisher failure|Missing catch|Unexpected input,Inspect failure type|Add catch/retry|Log errors|Test failures|Review pipeline
Combine,Publishing changes from background threads,A publisher updated UI-related state off the main thread.,Receive values on the main thread.,URLSession callback|Background scheduler|Missing receive(on:)|Incorrect actor usage|Legacy code,Add receive(on: RunLoop.main)|Check thread usage|Test UI updates|Use Instruments|Retest
Combine,AnyCancellable deallocated immediately,The subscription disappeared because it was not retained.,Store the cancellable.,Forgot Set storage|Local variable only|Object deallocated|Lifecycle issue|Refactoring,Find subscription creation|Store in cancellables set|Check object lifetime|Retest|Inspect memory
Combine,Retain cycle in Combine subscription,The subscription keeps objects alive unexpectedly.,Use weak captures or cancel subscriptions.,sink capturing self|Long-lived publisher|Missing weak self|Timer publisher|Notification publisher,Inspect sink closures|Use [weak self]|Cancel subscriptions|Use Memory Graph|Retest
Concurrency,Task was cancelled,An async operation stopped before completion.,Handle cancellation properly.,User left screen|Timeout|Parent task cancelled|Explicit cancellation|System resource management,Check Task.isCancelled|Clean up resources|Return early|Test cancellation|Document behavior
Concurrency,Task leak,An asynchronous task continues longer than intended.,Cancel tasks or manage their lifetime.,Detached Task misuse|Stored tasks never cancelled|Long operations|Missing ownership|Infinite async loop,Track task ownership|Cancel on deinit/disappear|Avoid unnecessary detached tasks|Profile|Retest
Concurrency,Continuation misuse: leaked continuation,A continuation was created but never resumed.,Ensure every continuation path resumes.,Missing callback path|Early return|Error path forgotten|API wrapper bug|Complex async conversion,Review all code paths|Resume on success and failure|Add assertions|Test failures|Simplify wrapper
Concurrency,Continuation resumed more than once,A continuation was completed multiple times.,Ensure only one resume happens.,Multiple callbacks|Race condition|Duplicate delegate events|Logic bug|Third-party API issue,Guard resume state|Remove duplicate callbacks|Test concurrency|Use actors if needed|Retest
Core Data,NSManagedObjectContext concurrency violation,Core Data objects were used from the wrong queue.,Perform operations on the correct context queue.,Passing objects between threads|Missing perform|Background context misuse|Async mistakes|Architecture issue,Use perform/performAndWait|Pass object IDs between contexts|Enable Core Data debugging|Test threading|Review ownership
Core Data,Could not merge changes,Two contexts had conflicting changes.,Resolve merge policy or update strategy.,Concurrent edits|Background saves|Conflicting updates|Missing merge policy|Data race,Inspect merge errors|Set merge policy|Refresh objects|Test concurrent saves|Review data flow
Core Data,Model version is incompatible,The database schema doesn't match the app model.,Add migrations or update the store.,Changed entity|Missing migration|Deleted attribute|Model version mismatch|Deployment update,Create model version|Enable migration|Test upgrades|Inspect persistent store|Release carefully
Persistence,UserDefaults value has wrong type,Stored data doesn't match what code expects.,Use the correct key and type.,Changed key|Old app version|Type mismatch|Manual edits|Migration issue,Inspect stored value|Clear defaults during testing|Add migration logic|Validate types|Retest
Persistence,File does not exist,The app attempted to access a missing file.,Check path and create the file if needed.,Wrong path|Deleted file|Sandbox issue|First launch|Migration problem,Print file URL|Check existence|Create directories|Handle missing files|Test clean install
Persistence,Permission denied accessing resource,The app lacks permission to access something.,Request permission or use an allowed location.,Privacy settings|Sandbox restrictions|Missing entitlement|Wrong directory|Security rules,Check entitlements|Review permissions|Use app directories|Test on device|Inspect logs
Testing,XCTest expectation timed out,An asynchronous test never completed.,Fulfill expectations or increase timeout appropriately.,Missing callback|Async code bug|Too-short timeout|Race condition|Test setup issue,Verify expectation fulfillment|Add logs|Check async flow|Adjust timeout|Run repeatedly
Testing,Test failed because XCTAssert failed,An assertion in a test did not match expected behavior.,Fix code or update incorrect expectations.,Bug|Changed behavior|Wrong test data|Timing issue|Environment difference,Read assertion message|Debug inputs|Verify expected values|Fix implementation or test|Rerun
Testing,Async test finished before task completed,The test returned before async work ended.,Await the operation or use expectations.,Forgot await|Missing expectation|Detached task|Incorrect async handling|Race condition,Convert test to async|Await tasks|Use expectations correctly|Retest|Check timingCategory
Swift 6 Migration,Main actor-isolated property cannot be mutated from a Sendable closure,Code running in a concurrency-safe closure is trying to modify UI/main-thread state incorrectly.,Move the mutation onto the MainActor or redesign the data flow.,Swift 6 strict concurrency|Updating UI from background task|Missing MainActor annotation|Legacy async code|Incorrect closure isolation,Identify the isolated property|Use await MainActor.run if needed|Annotate types correctly|Review concurrency model|Run strict concurrency checks
Swift 6 Migration,Capture of non-Sendable type in a @Sendable closure,A value that cannot safely cross concurrency boundaries was captured.,"Make the type Sendable, isolate it, or avoid crossing the boundary.",Reference types without Sendable|Mutable classes|Shared state|Legacy frameworks|Incorrect Task usage,Find captured values|Add Sendable where safe|Use actors|Avoid shared mutation|Run concurrency checks
Swift 6 Migration,Type 'X' does not conform to Sendable,The compiler cannot guarantee the type is safe across tasks.,"Make the type immutable, actor-isolated, or explicitly Sendable if safe.",Mutable stored properties|Reference types|Third-party classes|Global state|Concurrency migration,Inspect stored properties|Prefer structs with immutable data|Use actors for shared state|Add conformance carefully|Test concurrent access
Swift 6 Migration,Sending 'X' risks causing data races,A value may be accessed simultaneously by multiple tasks.,"Protect the data using actors, synchronization, or value semantics.",Shared mutable state|Task.detached|Non-Sendable objects|Global variables|Legacy callbacks,Locate the send boundary|Identify mutation points|Use actors|Remove shared state|Run Thread Sanitizer
Swift 6 Migration,Reference to captured var in concurrently-executing code,A mutable variable is captured by concurrent code.,Use immutable values or synchronize access.,Task closures|Mutable local variables|Async callbacks|Loops with captured variables|Migration changes,Replace var with let where possible|Create local constants|Use actors for shared state|Retest|Review warnings
Swift 6 Migration,Nonisolated initializer cannot access isolated property,An initializer is running outside the actor that owns the property.,Adjust isolation or initialization design.,Actor classes|MainActor classes|Custom initializers|Dependency injection|Migration,Review actor annotations|Move initialization into actor context|Use async initialization if needed|Compile|Test
API Design,Too many function parameters,The API is difficult to understand and use.,Group related values into a type or configuration object.,Growing feature requirements|Poor abstraction|Repeated arguments|Legacy API|Quick fixes,Count parameters|Create configuration structs|Improve naming|Add tests|Refactor callers
API Design,Boolean parameter makes API unclear,A true/false argument hides meaning at call sites.,Replace with an enum or clearer API.,Multiple flags|Quick design|Poor naming|Legacy code|Convenience methods,Find boolean parameters|Create descriptive enum cases|Improve call readability|Update tests|Review API
API Design,Primitive obsession,Simple values are used where stronger types would help.,Create domain-specific types.,Many Strings/Ints|Validation scattered|Large models|Poor encapsulation|Legacy design,Identify repeated concepts|Create structs/enums|Move validation into types|Update APIs|Test
API Design,Excessive optional properties,Objects allow too many invalid states.,Use stronger models or initialization requirements.,Partial objects|Loose validation|Legacy JSON models|Convenience|Unclear ownership,Identify required fields|Make invalid states impossible|Use builders if needed|Add validation|Refactor
Security,Sensitive data stored insecurely,Private information is stored in a location without adequate protection.,Use appropriate secure storage mechanisms.,Passwords in UserDefaults|Plain text files|Logging secrets|Hardcoded keys|Poor access control,Search for secrets|Remove sensitive logs|Use secure storage APIs|Rotate exposed keys|Review security
Security,Hardcoded credentials,Secret values are included directly in source code.,Move secrets to secure configuration.,API keys in code|Testing shortcuts|Copy-paste|Poor deployment setup|Prototype code,Search repository|Remove credentials|Rotate exposed keys|Use environment configuration|Review access
Security,Insecure random number generation,A non-secure random source is used for security-sensitive purposes.,Use cryptographically secure randomness.,Using random() for tokens|Session IDs|Security codes|Authentication logic|Prototype code,Identify security uses|Replace random source|Review requirements|Test behavior|Audit code
Security,Sensitive information logged,Private data is printed to logs.,Remove or redact sensitive information.,Debug statements|Network logging|Crash reports|Verbose logging|Copy-paste,Search logs|Redact values|Reduce production logging|Review crash reports|Retest
Accessibility,Missing accessibility label,A UI element lacks information for assistive technologies.,Add accessibility labels and hints.,Custom controls|Images without labels|Buttons with icons only|SwiftUI views|UIKit views,Audit UI|Add labels|Test VoiceOver|Review accessibility settings|Retest
Accessibility,Insufficient color contrast,Text or controls may be difficult to see.,Adjust colors to improve contrast.,Custom themes|Design mismatch|Hardcoded colors|Dark mode issues|Brand colors,Use accessibility inspector|Check contrast|Adjust colors|Test modes|Review design
Localization,Hardcoded user-facing string,Text cannot easily be translated.,Move strings into localization resources.,UI text in code|Alerts|Buttons|Messages|Prototype code,Search string literals|Create localization keys|Add translations|Test languages|Review UI
Localization,String interpolation prevents translation,Constructed strings may not translate correctly.,Use localized formatting resources.,Concatenating strings|Dynamic messages|Pluralization issues|Date formatting|Currency formatting,Move strings to localization|Use localized formatters|Test languages|Review grammar|Retest
Localization,Incorrect pluralization,Text doesn't handle singular/plural forms correctly.,Use localized plural rules.,Manual plural logic|English assumptions|Hardcoded messages|Global app|Copied text,Use String Catalog pluralization|Test multiple counts|Review translations|Remove assumptions|Retest
Database,Database query performed on main thread,A database operation may freeze the UI.,Move database work off the main thread.,Large queries|Core Data misuse|Synchronous APIs|Missing async design|Poor architecture,Profile UI stalls|Move work to background|Optimize queries|Cache results|Retest
Database,N+1 query problem,Many small database queries replace one efficient query.,Batch or optimize data fetching.,Loading relationships repeatedly|Poor ORM usage|Nested loops|Missing prefetching|Large datasets,Measure query count|Use batching|Prefetch relationships|Optimize fetches|Profile
